"SCINAME","AS.y","threat_score.y","pred_threat.y","pred_threat_bin.y","iucn_sc_pred"
"Megophrys medogensis","DD","DD","A","NT",3
"Megophrys pachyproctus","DD","DD","A","NT",3
"Megophrys robusta","DD","DD","A","NT",3
"Megophrys serchhipii","DD","DD","B","TH",8
"Megophrys shuichengensis","DD","DD","A","NT",3
"Megophrys wuliangshanensis","DD","DD","B","TH",8
"Megophrys zhangi","DD","DD","A","NT",3
"Megophrys zunhebotoensis","DD","DD","A","NT",3
"Meristogenys macrophthalmus","DD","DD","C","TH",24
"Micrixalus elegans","DD","DD","C","TH",24
"Micrixalus silvaticus","DD","DD","C","TH",24
"Micrixalus thampii","DD","DD","B","TH",8
"Microhyla fusca","DD","DD","B","TH",8
"Microhyla picta","DD","DD","C","TH",24
"Micryletta erythropoda","DD","DD","C","TH",24
"Mixophyes hihihorlo","DD","DD","A","NT",3
"Nanorana conaensis","DD","DD","A","NT",3
"Nanorana feae","DD","DD","A","NT",3
"Nanorana medogensis","DD","DD","A","NT",3
"Nanorana rarica","DD","DD","B","TH",8
"Notaden weigeli","DD","DD","A","NT",3
"Nyctibatrachus kempholeyensis","DD","DD","C","TH",24
"Nyctibatrachus minimus","DD","DD","B","TH",8
"Nyctibatrachus sylvaticus","DD","DD","B","TH",8
"Nyctimystes daymani","DD","DD","A","NT",3
"Nyctimystes fluviatilis","DD","DD","A","NT",3
"Nyctimystes granti","DD","DD","A","NT",3
"Nyctimystes gularis","DD","DD","A","NT",3
"Nyctimystes kuduki","DD","DD","A","NT",3
"Nyctimystes montanus","DD","DD","A","NT",3
"Nyctimystes papua","DD","DD","A","NT",3
"Nyctimystes persimilis","DD","DD","A","NT",3
"Nyctimystes tyleri","DD","DD","A","NT",3
"Odorrana anlungensis","DD","DD","B","TH",8
"Odorrana aureola","DD","DD","A","NT",3
"Odorrana graminea","DD","DD","A","NT",3
"Odorrana hejiangensis","DD","DD","A","NT",3
"Odorrana mawphlangensis","DD","DD","C","TH",24
"Odorrana trankieni","DD","DD","A","NT",3
"Oreolalax nanjiangensis","DD","DD","C","TH",24
"Oreophryne albopunctata","DD","DD","A","NT",3
"Oreophryne asplenicola","DD","DD","A","NT",3
"Oreophryne atrigularis","DD","DD","A","NT",3
"Oreophryne brevicrus","DD","DD","A","NT",3
"Oreophryne crucifer","DD","DD","A","NT",3
"Oreophryne flava","DD","DD","A","NT",3
"Oreophryne frontifasciata","DD","DD","B","TH",8
"Oreophryne idenburgensis","DD","DD","A","NT",3
"Oreophryne insulana","DD","DD","A","NT",3
"Oreophryne kampeni","DD","DD","A","NT",3
"Oreophryne loriae","DD","DD","A","NT",3
